y,x
-340.0E-06,-505.8417E-03
-330.0E-06,-474.4347E-03
-320.0E-06,-453.5804E-03
-310.0E-06,-441.0176E-03
-300.0E-06,-410.8668E-03
-290.0E-06,-402.0729E-03
-280.0E-06,-377.9523E-03
-270.0E-06,-361.8719E-03
-260.0E-06,-337.7513E-03
-250.0E-06,-321.6709E-03
-240.0E-06,-300.8166E-03
-230.0E-06,-289.5100E-03
-220.0E-06,-272.6759E-03
-210.0E-06,-257.3492E-03
-200.0E-06,-244.5352E-03
-190.0E-06,-225.1884E-03
-180.0E-06,-209.1080E-03
-170.0E-06,-195.7915E-03
-160.0E-06,-176.9472E-03
-150.0E-06,-168.9070E-03
-140.0E-06,-152.8266E-03
-130.0E-06,-144.7864E-03
-120.0E-06,-128.7060E-03
-110.0E-06,-113.8819E-03
-100.0E-06,-103.8317E-03
-90.0E-06,-88.5050E-03
-80.0E-06,-75.6910E-03
-70.0E-06,-65.6407E-03
-60.0E-06,-48.3040E-03
-50.0E-06,-40.2638E-03
-40.0E-06,-27.4498E-03
-30.0E-06,-16.1432E-03
-20.0E-06,-7.3492E-03
-10.0E-06,-62.8E-06
-0.0E+00,+16.0176E-03
+10.0E-06,+17.2739E-03
+20.0E-06,+32.8518E-03
+30.0E-06,+42.9020E-03
+40.0E-06,+52.9523E-03
+50.0E-06,+64.2588E-03
+60.0E-06,+71.5452E-03
+70.0E-06,+80.3392E-03
+80.0E-06,+93.1533E-03
+90.0E-06,+104.4598E-03
+100.0E-06,+104.4598E-03
+110.0E-06,+109.7362E-03
+120.0E-06,+125.3141E-03
+130.0E-06,+121.7965E-03
+140.0E-06,+136.6206E-03
+150.0E-06,+144.6608E-03
+160.0E-06,+149.4347E-03
+170.0E-06,+160.7412E-03
+180.0E-06,+168.7814E-03
+190.0E-06,+171.5452E-03
+200.0E-06,+172.0477E-03
+210.0E-06,+184.8618E-03
+220.0E-06,+192.9020E-03
+230.0E-06,+200.9422E-03
+240.0E-06,+200.9422E-03
+250.0E-06,+208.9824E-03
+260.0E-06,+208.9824E-03
+270.0E-06,+225.0628E-03
+280.0E-06,+228.3291E-03
+290.0E-06,+225.0628E-03
+300.0E-06,+241.1432E-03
+310.0E-06,+241.1432E-03
+320.0E-06,+241.1432E-03
+330.0E-06,+249.1834E-03
+340.0E-06,+257.2236E-03
+350.0E-06,+257.2236E-03
+360.0E-06,+270.0377E-03
+370.0E-06,+272.0477E-03
+380.0E-06,+280.5904E-03
+390.0E-06,+281.3442E-03
+400.0E-06,+281.3442E-03
+410.0E-06,+290.6407E-03
+420.0E-06,+290.1382E-03
+430.0E-06,+294.6608E-03
+440.0E-06,+303.9573E-03
+450.0E-06,+305.4648E-03
+460.0E-06,+313.5050E-03
+470.0E-06,+308.2286E-03
+480.0E-06,+321.5452E-03
+490.0E-06,+322.8015E-03
+500.0E-06,+328.8317E-03
+510.0E-06,+326.8216E-03
+520.0E-06,+332.8518E-03
+530.0E-06,+336.3693E-03
+540.0E-06,+337.6256E-03
+550.0E-06,+334.8618E-03
+560.0E-06,+342.3995E-03
+570.0E-06,+345.6658E-03
+580.0E-06,+353.7060E-03
+590.0E-06,+350.9422E-03
+600.0E-06,+358.4799E-03
+610.0E-06,+360.4899E-03
+620.0E-06,+361.7462E-03
+630.0E-06,+361.7462E-03
+640.0E-06,+365.0126E-03
+650.0E-06,+376.5703E-03
+660.0E-06,+370.5402E-03
+670.0E-06,+372.5502E-03
+680.0E-06,+381.0930E-03
+690.0E-06,+379.0829E-03
+700.0E-06,+385.8668E-03
+710.0E-06,+391.1432E-03
+720.0E-06,+385.8668E-03
+730.0E-06,+385.8668E-03
+740.0E-06,+394.6608E-03
+750.0E-06,+393.9070E-03
+760.0E-06,+390.6407E-03
+770.0E-06,+393.9070E-03
+780.0E-06,+393.9070E-03
+790.0E-06,+401.9472E-03
+800.0E-06,+405.2136E-03
+810.0E-06,+403.2035E-03
+820.0E-06,+409.9874E-03
+830.0E-06,+409.9874E-03
+840.0E-06,+409.9874E-03
+850.0E-06,+403.2035E-03
+860.0E-06,+409.9874E-03
+870.0E-06,+415.2638E-03
+880.0E-06,+418.0276E-03
+890.0E-06,+418.0276E-03
+900.0E-06,+418.7814E-03
+910.0E-06,+418.0276E-03
+920.0E-06,+422.8015E-03
+930.0E-06,+419.2839E-03
+940.0E-06,+432.6005E-03
+950.0E-06,+428.8317E-03
+960.0E-06,+426.0678E-03
+970.0E-06,+434.1080E-03
+980.0E-06,+433.3543E-03
+990.0E-06,+434.1080E-03
+1.0000E-03,+434.1080E-03
+1.0100E-03,+434.1080E-03
+1.0200E-03,+441.3945E-03
+1.0300E-03,+439.3844E-03
+1.0400E-03,+434.1080E-03
+1.0500E-03,+440.8920E-03
+1.0600E-03,+434.8618E-03
+1.0700E-03,+442.1482E-03
+1.0800E-03,+434.1080E-03
+1.0900E-03,+442.1482E-03
+1.1000E-03,+450.1884E-03
+1.1100E-03,+442.1482E-03
+1.1200E-03,+442.1482E-03
+1.1300E-03,+450.1884E-03
+1.1400E-03,+450.1884E-03
+1.1500E-03,+450.1884E-03
+1.1600E-03,+450.1884E-03
+1.1700E-03,+450.1884E-03
+1.1800E-03,+450.9422E-03
+1.1900E-03,+450.1884E-03
+1.2000E-03,+458.2286E-03
+1.2100E-03,+456.9724E-03
+1.2200E-03,+457.4749E-03
+1.2300E-03,+452.9523E-03
+1.2400E-03,+458.2286E-03
+1.2500E-03,+458.2286E-03
+1.2600E-03,+458.2286E-03
+1.2700E-03,+458.2286E-03
+1.2800E-03,+463.0025E-03
+1.2900E-03,+458.2286E-03
+1.3000E-03,+466.2688E-03
+1.3100E-03,+466.2688E-03
+1.3200E-03,+461.4950E-03
+1.3300E-03,+467.5251E-03
+1.3400E-03,+466.2688E-03
+1.3500E-03,+471.5452E-03
+1.3600E-03,+466.2688E-03
+1.3700E-03,+459.4849E-03
+1.3800E-03,+474.3090E-03
+1.3900E-03,+471.5452E-03
+1.4000E-03,+469.5352E-03
+1.4100E-03,+467.5251E-03
+1.4200E-03,+473.5553E-03
+1.4300E-03,+466.2688E-03
+1.4400E-03,+466.2688E-03
+1.4500E-03,+473.0528E-03
+1.4600E-03,+467.0226E-03
+1.4700E-03,+474.3090E-03
+1.4800E-03,+477.5754E-03
+1.4900E-03,+474.3090E-03
+1.5000E-03,+474.3090E-03
+1.5100E-03,+469.0327E-03
+1.5200E-03,+474.3090E-03
+1.5300E-03,+474.3090E-03
+1.5400E-03,+474.3090E-03
+1.5500E-03,+469.0327E-03
+1.5600E-03,+474.3090E-03
+1.5700E-03,+474.3090E-03
+1.5800E-03,+474.3090E-03
+1.5900E-03,+474.3090E-03
+1.6000E-03,+479.0829E-03
+1.6100E-03,+474.3090E-03
+1.6200E-03,+481.5955E-03
+1.6300E-03,+479.5854E-03
+1.6400E-03,+477.5754E-03
+1.6500E-03,+473.0528E-03
+1.6600E-03,+481.5955E-03
+1.6700E-03,+479.5854E-03
+1.6800E-03,+485.6156E-03
+1.6900E-03,+482.3492E-03
+1.7000E-03,+482.3492E-03
+1.7100E-03,+482.3492E-03
+1.7200E-03,+482.3492E-03
+1.7300E-03,+482.3492E-03
+1.7400E-03,+482.3492E-03
+1.7500E-03,+485.1131E-03
+1.7600E-03,+480.8417E-03
+1.7700E-03,+490.3894E-03
+1.7800E-03,+490.3894E-03
+1.7900E-03,+482.3492E-03
+1.8000E-03,+485.6156E-03
+1.8100E-03,+481.0930E-03
+1.8200E-03,+482.3492E-03
+1.8300E-03,+479.5854E-03
+1.8400E-03,+487.1231E-03
+1.8500E-03,+489.1332E-03
+1.8600E-03,+490.3894E-03
+1.8700E-03,+482.3492E-03
+1.8800E-03,+482.3492E-03
+1.8900E-03,+483.6055E-03
+1.9000E-03,+482.3492E-03
+1.9100E-03,+482.3492E-03
+1.9200E-03,+482.3492E-03
+1.9300E-03,+483.6055E-03
+1.9400E-03,+490.3894E-03
+1.9500E-03,+485.1131E-03
+1.9600E-03,+485.6156E-03
+1.9700E-03,+482.3492E-03
+1.9800E-03,+490.3894E-03
+1.9900E-03,+485.1131E-03
+2.0000E-03,+485.6156E-03
+2.0100E-03,+489.1332E-03
+2.0200E-03,+490.3894E-03
+2.0300E-03,+495.6658E-03
+2.0400E-03,+485.6156E-03
+2.0500E-03,+483.6055E-03
