hz;Spannung 1. Ordnung in mV;grad;Spannung 1. Ordnung in mV verdoppelt (falsche Werte);pverdoppelt;Spannung 1. Ordnung in mV verdoppelt;dB;dBv;gradv
10;1100;3;1000;1000;1100;0;0; 6
40;1100;7;900;900;990;0;-0,915149811; 24
60;1100;10;830;830;913;0;-1,618438152; 34
80;1070;13;750;750;825;-0,240178149;-2,498774732; 41
100;1050;16;670;670;737;-0,404067722;-3,478503946;47
120;1040;19;600;600;660;-0,487186917;-4,436974992;52
150;1010;23;520;520;572;-0,741426228;-5,679933127;58
180;960;28;460;460;506;-1,182429042;-6,744843366;63
200;950;30;430;430;473;-1,273381597;-7,330630888;65
230;920;33;340;340;374;-1,552097156;-9,370421659;68
250;900;36;360;360;396;-1,743003514;-8,873949985;70
280;860;37;330;330;363;-2,137884678;-9,629721202;72
300;840;40;310;310;341;-2,342267982;-10,17276612;73
320;820;41;300;300;330;-2,551576655;-10,45757491;74
340;800;44;280;280;308;-2,766053963;-11,05683937;75
380;760;48;260;260;286;-3,211581858;-11,70053304;77
420;720;50;230;230;253;-3,681203775;-12,76544328;78
480;680;53;210;210;231;-4,177675449;-13,55561411;80
540;640;56;180;180;198;-4,704254223;-14,8945499;81
620;600;60;170;170;187;-5,264828695;-15,39102157;84
680;560;62;150;150;165;-5,864093163;-16,47817482;84
780;500;66;125;125;137,5;-6,848453616;-18,06179974;84
880;480;68;110;110;121;-7,203028956;-19,1721463;84
1000;440;70;100;100;110;-7,958800173;-20;85
2000;280;79;54;54;59,4;-11,88469308;-25,3521248;87
3000;190;83;38;38;41,8;-15,25278168;-28,40432807;90
4000;180;85;30;30;33;-15,84545405;-30,45757491;90
5000;170;86;20;20;22;-16,21887528;-33,97940009;90
6000;170;86;17;17;18,7;-16,21887528;-35,39102157;90
7000;150;88;15;15;16,5;-17,30602852;-36,47817482;90
8000;150;89;13;13;14,3;-17,30602852;-37,72113295;90
9000;140;90;12;12;13,2;-17,90529299;-38,41637508;90
10000;140;90;11;11;12,1;-17,90529299;-39,1721463;90
