Hz;V;g;Vin(falsche werte);Vin;dB
1;1100;0;1000;1100;0
10;1100;1;1000;1100;0
20;1100;1;1000;1100;0
100;1100;1;990;1089;0
500;1100;1;960;1056;0
1000;1070;2;890;979;-0,240178149
2500;960;5;620;682;-1,182429042
3000;920;6;510;561;-1,552097156
3500;860;10;390;429;-2,137884678
4000;740;16;320;352;-3,443219309
4500;690;27;230;253;-4,050871888
4750;670;38;170;187;-4,306357649
5000;640;56;130;143;-4,704254223
5250;610;62;160;176;-5,121257003
5500;590;108;180;198;-5,41081347
6000;540;138;310;341;-6,179978507
7000;450;156;460;506;-7,763603428
10000;270;165;680;748;-12,20057842
15000;130;165;870;957;-18,54898666
50000;15;150;990;1089;-37,30602852
100000;6;140;990;1089;-45,2648287
500000;2;140;990;1100;-54,00000000
1000000;1;140;990;1100;-60,00000000

