Hz,V,db,x,grad,f
1.00E+02,(,6.01295164848930e+00,B,-7.95325761749391e+00,)
1.26E+02,(,6.00819357784422e+00,B,-1.00259694180048e+01,)
1.58E+02,(,6.00020294694330e+00,B,-1.26483930888710e+01,)
2.00E+02,(,5.98641614331937e+00,B,-1.59751492485265e+01,)
2.51E+02,(,5.96177553142221e+00,B,-2.02116100376320e+01,)
3.16E+02,(,5.91584710966688e+00,B,-2.56343494097532e+01,)
3.98E+02,(,5.82639671915969e+00,B,-3.26167326388808e+01,)
5.01E+02,(,5.64567233187606e+00,B,-4.16452257555728e+01,)
6.31E+02,(,5.27486764085471e+00,B,-5.32675687570685e+01,)
7.94E+02,(,4.53298098687823e+00,B,-6.78235604928383e+01,)
1.00E+03,(,3.16994905421817e+00,B,-8.48309359317454e+01,)
1.26E+03,(,1.00353904529204e+00,B,-1.02532730163858e+02,)
1.58E+03,(,-1.91429787409729e+00,B,-1.18711280027659e+02,)
2.00E+03,(,-5.34974035835426e+00,B,-1.32115723066003e+02,)
2.51E+03,(,-9.07220849867627e+00,B,-1.42685661617946e+02,)
3.16E+03,(,-1.29366683831095e+01,B,-1.50903209262028e+02,)
3.98E+03,(,-1.68687974343045e+01,B,-1.57312584265607e+02,)
5.01E+03,(,-2.08334915138469e+01,B,-1.62363320232565e+02,)
6.31E+03,(,-2.48144475795644e+01,B,-1.66399796797123e+02,)
7.94E+03,(,-2.88039657879732e+01,B,-1.69688222861738e+02,)
1.00E+04,(,-3.27982739952332e+01,B,-1.72447233114536e+02,)
1.26E+04,(,-3.67953708389222e+01,B,-1.74878333361475e+02,)
1.58E+04,(,-4.07938028720023e+01,B,-1.77202832642482e+02,)
2.00E+04,(,-4.47912031869588e+01,B,-1.79718694917988e+02,)
2.51E+04,(,-4.87803656742093e+01,B,1.77099251560832e+02,)
3.16E+04,(,-5.27356125600932e+01,B,1.72419721010972e+02,)
3.98E+04,(,-5.65649526822433e+01,B,1.64786074492152e+02,)
5.01E+04,(,-5.99670493622695e+01,B,1.52091817840647e+02,)
6.31E+04,(,-6.22269154647987e+01,B,1.33479808561894e+02,)
7.94E+04,(,-6.26594542287852e+01,B,1.13452690664729e+02,)
1.00E+05,(,-6.16399069190691e+01,B,9.81354558922849e+01,)
1.26E+05,(,-5.99877316122114e+01,B,8.81247453571063e+01,)
1.58E+05,(,-5.81381115121184e+01,B,8.12502683598607e+01,)
2.00E+05,(,-5.62430967260097e+01,B,7.56568256001898e+01,)
2.51E+05,(,-5.43616299022454e+01,B,7.01679080089588e+01,)
3.16E+05,(,-5.25373270650912e+01,B,6.40227322783569e+01,)
3.98E+05,(,-5.08301929374622e+01,B,5.66875564866777e+01,)
5.01E+05,(,-4.93366323284412e+01,B,4.78408538672440e+01,)
6.31E+05,(,-4.81943767430197e+01,B,3.75645883278203e+01,)
7.94E+05,(,-4.75410474145024e+01,B,2.66397547920239e+01,)
1.00E+06,(,-4.74174055879658e+01,B,1.64990306546312e+01,)
1.26E+06,(,-4.77069081434082e+01,B,8.51226197728436e+00,)
1.58E+06,(,-4.81999006282137e+01,B,3.24258634196454e+00,)
2.00E+06,(,-4.87066517437402e+01,B,3.98262182836921e-01,)
2.51E+06,(,-4.91162120015931e+01,B,-7.50238786919124e-01,)
3.16E+06,(,-4.93957755404228e+01,B,-9.60999955216645e-01,)
3.98E+06,(,-4.95623471239186e+01,B,-7.92090990653048e-01,)
5.01E+06,(,-4.96510758905014e+01,B,-5.52207283067006e-01,)
6.31E+06,(,-4.96942812634494e+01,B,-3.62713412286614e-01,)
7.94E+06,(,-4.97139381189566e+01,B,-2.45999802029034e-01,)
1.00E+07,(,-4.97225036034670e+01,B,-1.88808349163027e-01,)
