V,vin,Amp,Phase,x,Ampc,Phasec
1,1,2.06,3.5,,1.5,8
1.2,1.2,2.5,3.5,,1.8,8
1.4,1.4,2.9,3.5,,2.1,8
1.6,1.6,3.3,3.5,,2.3,8
1.8,1.8,3.7,3.5,,2.7,8
2,2,4.1,3.5,,3,8
2.5,2.5,5.1,3.5,,3.7,8
3,3,6.1,3.5,,4.5,8
3.5,3.5,7.2,3.5,,5.2,8
4,4,8.2,3.5,,5.9,8
4.5,4.5,9.2,3.5,,6.7,8
5,5,10.3,3.5,,7.4,8
5.5,5.5,11.3,3.5,,8.1,8
6,6,12.3,3.5,,8.9,8
6.5,6.5,13.3,3.5,,9.6,8
7,7,14.3,3.5,,10.4,8
7.5,7.5,15.4,3.5,,11.1,8
8,8,16.4,3.5,,11.8,8
8.5,8.5,17.4,3.5,,12.6,8
9,9,18.4,3.5,,13.3,8
9.5,9.5,19.4,3.5,,14.1,8
10,10,20.4,3.5,,14.8,8
