Hz,in,amp,phase,x,inc,ampc,phasec,z,Hzh,inh,amph,phaseh,y,inch,ampch,phasech
100,3,6.1,3.5,,3,4.5,8,,350000,3.2,20,-40,,3,16,-60
200,3,6.3,7,,3,4.5,16,,500000,3.1,27,-30,,3,20,-50
300,3,6.6,11,,3,4.4,24,,600000,3.1,27,-30,,3,21,-40
400,3,7,14.7,,3,4.4,32,,700000,3.1,27,-20,,3,24,-40
500,3,7.5,20,,3,4.3,41,,800000,3.1,29,-20,,3,25,-30
600,3,8.2,27,,3,4.2,50,,900000,3.1,30,-10,,3,25,-20
700,3,9.1,36,,3,4.1,60,,1000000,3.1,35,-5,,3,25,-20
800,3,10.1,48,,3,3.9,70,,2000000,3.06,27,0,,3,23,0
900,3,10.8,64,,3,3.6,78,,3000000,3.06,27,0,,3,20,0
1000,3,10.7,82,,3,3.3,86,,4000000,3.1,27,0,,3,20,0
1250,3,7.4,122,,3,2.6,104,,5000000,2.9,27,0,,2.9,20,0
1500,3,4.5,142,,3,2,118,,6000000,2.8,27,0,,2.85,20,0
1750,3,2.95,152,,3,1.5,127,,7000000,2.8,27,0,,2.8,20,0
2000,3,2.1,157,,3,1.2,135,,8000000,2.75,27,0,,2.75,20,0
3000,3,0.830,167,,3,0.540,150,,9000000,2.7,27,0,,2.7,20,0
4000,3,0.450,170,,3,0.310,160,,10000000,2.65,27,0,,2.65,20,0
5000,3,0.280,172,,3,0.200,160,,,,,,,,,
6000,3,0.194,175,,3,0.140,166,,,,,,,,,
7000,3,0.143,176,,3,0.100,168,,,,,,,,,
8000,3,0.110,177,,3,0.080,170,,,,,,,,,
9000,3,0.087,178,,3,0.065,175,,,,,,,,,
10000,3,0.074,180,,3,0.052,175,,,,,,,,,
20000,3,0.025,-173,,3,0.016,-160,,,,,,,,,
30000,3,0.012,-160,,3,0.010,-140,,,,,,,,,
